airport_id,city,state,name
10140,Albuquerque,NM,Albuquerque International Sunport
10299,Anchorage,AK,Ted Stevens Anchorage International
10397,Atlanta,GA,Hartsfield-Jackson Atlanta International
10423,Austin,TX,Austin - Bergstrom International
10529,Hartford,CT,Bradley International
10693,Nashville,TN,Nashville International
10721,Boston,MA,Logan International
10792,Buffalo,NY,Buffalo Niagara International
10800,Burbank,CA,Bob Hope
10821,Baltimore,MD,Baltimore/Washington International Thurgood Marshall
11042,Cleveland,OH,Cleveland-Hopkins International
11057,Charlotte,NC,Charlotte Douglas International
11066,Columbus,OH,Port Columbus International
11193,Cincinnati,OH,Cincinnati/Northern Kentucky International
11259,Dallas,TX,Dallas Love Field
11278,Washington,DC,Ronald Reagan Washington National
11292,Denver,CO,Denver International
11298,Dallas/Fort Worth,TX,Dallas/Fort Worth International
