DayofMonth,DayOfWeek,Carrier,OriginAirportID,DestAirportID,DepDelay,ArrDelay
19,5,DL,11433,13303,-3,1
19,5,DL,14869,12478,0,-8
19,5,DL,14057,14869,-4,-15
19,5,DL,15016,11433,28,24
19,5,DL,11193,12892,-6,-11
19,5,DL,10397,15016,-1,-19
19,5,DL,15016,10397,0,-1
19,5,DL,10397,14869,15,24
19,5,DL,10397,10423,33,34
19,5,DL,11278,10397,323,322
19,5,DL,14107,13487,-7,-13
19,5,DL,11433,11298,22,41
19,5,DL,11298,11433,40,20
19,5,DL,11433,12892,-2,-7
19,5,DL,10397,12451,71,75
19,5,DL,12451,10397,75,57
19,5,DL,12953,10397,-1,10
19,5,DL,11433,12953,-3,-10
19,5,DL,10397,14771,31,38
19,5,DL,13204,10397,8,25
19,5,DL,13487,12889,-3,-2
19,5,DL,12889,13487,7,16
19,5,DL,10397,14027,0,19
19,5,DL,14027,10397,13,25
19,5,DL,13244,10397,4,13
19,5,DL,12953,11697,12,-8
19,5,DL,10397,12892,15,7
19,5,DL,14869,14747,-7,-6
19,5,DL,14747,14869,15,18
19,5,DL,10423,10397,0,56
19,5,DL,11292,12953,56,49
20,6,DL,14869,14893,-5,6
20,6,DL,14869,14908,-5,-14
20,6,DL,12892,15304,-3,21
20,6,DL,10397,11193,-6,-14
20,6,DL,10397,11278,21,-2
20,6,DL,10397,13198,16,-2
20,6,DL,13198,10397,2,1
20,6,DL,11057,10397,34,38
20,6,DL,11433,13487,5,-6
20,6,DL,13487,11433,-2,-14
20,6,DL,10397,14100,-1,-13
20,6,DL,14100,10397,-3,-5
20,6,DL,12478,10397,-8,-13
20,6,DL,12889,11433,-5,-10
20,6,DL,10397,14683,-6,-27
20,6,DL,11697,12953,-6,14
20,6,DL,12892,10693,-3,-17
20,6,DL,13487,13198,-3,-10
20,6,DL,13198,13487,-4,-1
20,6,DL,12339,10397,20,1
20,6,DL,12478,12892,-5,-15
20,6,DL,14869,13487,35,26
20,6,DL,12266,11433,5,5
20,6,DL,14747,10397,-5,-11
20,6,DL,15304,10397,-3,-29
20,6,DL,13487,14635,4,5
20,6,DL,14635,13487,0,-11
20,6,DL,13930,10397,1,-14
20,6,DL,14679,14869,1,-17
20,6,DL,12478,10721,-6,-4
20,6,DL,10397,12953,-3,-15
20,6,DL,14100,14869,-1,9
20,6,DL,14869,14100,-6,-7
20,6,DL,13204,11193,0,-3
20,6,DL,13487,14057,0,-19
20,6,DL,14057,13487,-4,-25
20,6,DL,13487,14107,-5,-3
20,6,DL,10721,10397,-1,-26
20,6,DL,10397,10821,-7,-16
20,6,DL,10821,10397,-7,-18
20,6,DL,10397,13931,4,-15
20,6,DL,11433,11057,-3,-9
20,6,DL,14107,11433,-2,-11
20,6,DL,11066,10397,-3,-19
20,6,DL,11433,10397,-2,-7
20,6,DL,14747,13487,-2,-12
20,6,DL,11433,12889,-3,-11
20,6,DL,10397,11292,-7,2
20,6,DL,10397,13495,-9,-23
